name,symbol
Reliance Industries,RELIANCE
HDFC Bank,HDFC
Tata Consultancy Services,TCS
Bharti Airtel,BHARTIARTL
ICICI Bank,ICICI
State Bank of India,SBIN
Infosys,INFY
Bajaj Finance,BAJFINANCE
Hindustan Unilever,HINDUNILVR
Larsen & Toubro,LT
LIC of India,LIC
Maruti Suzuki,MARUTI
Mahindra & Mahindra,
HCL Technologies,HCL
ITC,ITC
Kotak Bank,KOTAKBANK
Sun Pharmaceutical,SUNPHARMA
Axis Bank,AXISBANK
Titan,TITAN
UltraTech Cement,ULTRACEMCO
NTPC,NTPC
Bajaj Finserv,BAJAJFINSV
Oil & Natural Gas Corporation,ONGC
Adani Ports & SEZ,SEZ
Bharat Electronics,BEL
Hindustan Aeronautics,HAL
JSW Steel,JSW
Eternal,ETERNAL
Hindustan Zinc,HINDZINC
Wipro,WIPRO
Asian Paints,ASIANPAINT
Bajaj Auto,
Coal India,COALINDIA
Vedanta,VEDL
Nestle,NESTLEIND
Avenue Supermarts DMart,DMART
Adani Enterprises,ADANIENT
Power Grid Corporation of India,POWERGRID
Tata Steel,TATASTEEL
Indian Oil Corporation,IOC
Hindalco Industries,HINDALCO
SBI Life Insurance,SBI
Eicher Motors,EICHERMOT
Grasim Industries,GRASIM
Shriram Finance,SHRIRAMFIN
Interglobe Aviation,INDIGO
Jio Financial Services,JIOFIN
LTI Mindtree,LTI
TVS Motors,TVS
Varun Beverages,VBL
Nifty Bank,
Finnifty,
Nifty Midcap Select,
Nifty 50,
Nifty Next 50,
3360 One WAM,
ABB,ABB
Aditya Birla Capital,ABCAPITAL
Adani Energy Solutions,ADANIENSOL
Adani Green Energy,ADANIGREEN
Adani Ports & SEZ,ADANIPORTS
Alkem Laboratories,ALKEM
Amber Enterprises,AMBER
Ambuja Cements,AMBUJACEM
Angel One,ANGELONE
APL Apollo Tubes,APLAPOLLO
Apollo Hospitals,APOLLOHOSP
Ashok Leyland,ASHOKLEY
Astral,ASTRAL
AU Small Finance Bank,AUBANK
Aurobindo Pharma,AUROPHARMA
Bajaj Holdings & Investments,BAJAJHLDNG
Bandhan Bank,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bharat Dynamics,BDL
Bharat Forge,BHARATFORG
Bharat Heavy Electricals,BHEL
Biocon,BIOCON
Blue Star,BLUESTARCO
Bosch,BOSCHLTD
Bharat Petroleum,BPCL
Britannia Industries,BRITANNIA
BSE,BSE
CAMS,CAMS
Canara Bank,CANBK
CDSL,CDSL
CG Power & Industrial Solutions,CGPOWER
Cholamandalam Investment,CHOLAFIN
Cipla,CIPLA
Coforge,COFORGE
Colgate Palmolive,COLPAL
Container Corporation of India,CONCOR
Crompton Greaves,CROMPTON
Cummins,CUMMINSIND
Dabur India,DABUR
Dalmia Bharat,DALBHARAT
Delhivery,DELHIVERY
Divis Laboratories,DIVISLAB
Dixon Technologies,DIXON
DLF,DLF
Dr Reddys Laboratories,DRREDDY
Exide Industries,EXIDEIND
Federal Bank,FEDERALBNK
Fortis Healthcare,FORTIS
GAIL,GAIL
Glenmark Pharmaceuticals,GLENMARK
GMR Airports,GMRAIRPORT
Godrej Consumer Products,GODREJCP
Godrej Properties,GODREJPROP
Havells,HAVELLS
HCL Technologies,HCLTECH
HDFC AMC,HDFCAMC
HDFC Bank,HDFCBANK
HDFC Life Insurance,HDFCLIFE
Hero Motocorp,HEROMOTOCO
Hindustan Petroleum,HINDPETRO
HUDCO,HUDCO
ICICI Bank,ICICIBANK
ICICI Lombard General Insurance,ICICIGI
ICICI Prudential Life Insurance,ICICIPRULI
Vodafone Idea,IDEA
IDFC First Bank,IDFCFIRSTB
Indian Energy Exchange,IEX
IIFL Finance,IIFL
Indian Hotels Company,INDHOTEL
Indian Bank,INDIANB
Indusind Bank,INDUSINDBK
Indus Towers,INDUSTOWER
Inox Wind,INOXWIND
IRCTC,IRCTC
IREDA,IREDA
IRFC,IRFC
Jindal Steel,JINDALSTEL
JSW Energy,JSWENERGY
JSW Steel,JSWSTEEL
Jubilant FoodWorks,JUBLFOOD
Kalyan Jewellers,KALYANKJIL
Kaynes Technology India,KAYNES
KEI Industries,KEI
KFin Technologies,KFINTECH
KPIT Technologies,KPITTECH
Laurus Labs,LAURUSLABS
LIC Housing Finance,LICHSGFIN
LIC of India,LICI
Lodha Developers,LODHA
L&T Finance,LTF
LTI Mindtree,LTIM
Lupin,LUPIN
Manappuram Finance,MANAPPURAM
Mankind Pharma,MANKIND
Marico,MARICO
Max Healthcare Institute,MAXHEALTH
Mazagon Dock Shipbuilders,MAZDOCK
MCX,MCX
Max Financial Services,MFSL
Samvardhana Motherson International,MOTHERSON
Mphasis,MPHASIS
Muthoot Finance,MUTHOOTFIN
NALCO,NATIONALUM
Info Edge,NAUKRI
NBCC,NBCC
NHPC,NHPC
NMDC,NMDC
Nuvama Wealth Management,NUVAMA
Nykaa,NYKAA
Oberoi Realty,OBEROIRLTY
Oracle Financial Services Software,OFSS
Oil India,OIL
Page Industries,PAGEIND
Patanjali Foods,PATANJALI
One 97 Communications,PAYTM
Persistent Systems,PERSISTENT
Petronet LNG,PETRONET
Power Finance Corporation,PFC
PG Electroplast,PGEL
Phoenix Mills,PHOENIXLTD
Pidilite Industries,PIDILITIND
PI Industries,PIIND
Punjab National Bank,PNB
PNB Housing Finance,PNBHOUSING
PB FinTech,POLICYBZR
Polycab,POLYCAB
Hitachi Energy,POWERINDIA
Piramal Pharma,PPLPHARMA
Premier Energies,PREMIERENE
Prestige Estates Projects,PRESTIGE
RBL Bank,RBLBANK
REC,RECLTD
Rail Vikas Nigam,RVNL
Steel Authority of India,SAIL
Sammaan Capital,SAMMAANCAP
SBI Cards,SBICARD
SBI Life Insurance,SBILIFE
Shree Cement,SHREECEM
